DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [31-Mar-2022]	[7:45] BTC $47222.46
StonksBot#2363 [31-Mar-2022]	[8:00] BTC $47155.34
StonksBot#2363 [31-Mar-2022]	[8:15] BTC $47278.41
StonksBot#2363 [31-Mar-2022]	[8:30] BTC $47316.55
StonksBot#2363 [31-Mar-2022]	[8:45] BTC $47285.43
StonksBot#2363 [31-Mar-2022]	[9:00] BTC $47410.47
StonksBot#2363 [31-Mar-2022]	[9:15] BTC $47356.68
StonksBot#2363 [31-Mar-2022]	[9:30] BTC $47270.01
StonksBot#2363 [31-Mar-2022]	[9:45] BTC $47209.99
StonksBot#2363 [31-Mar-2022]	[10:00] BTC $47209.27
StonksBot#2363 [31-Mar-2022]	[10:15] BTC $47220.00
StonksBot#2363 [31-Mar-2022]	[10:30] BTC $47250.79
StonksBot#2363 [31-Mar-2022]	[10:45] BTC $47141.48
StonksBot#2363 [31-Mar-2022]	[11:00] BTC $47094.21
StonksBot#2363 [31-Mar-2022]	[11:15] BTC $47111.36
StonksBot#2363 [31-Mar-2022]	[11:30] BTC $47059.59
StonksBot#2363 [31-Mar-2022]	[11:45] BTC $47020.37
StonksBot#2363 [31-Mar-2022]	[12:00] BTC $47022.02
StonksBot#2363 [31-Mar-2022]	[12:15] BTC $46990.07
StonksBot#2363 [31-Mar-2022]	[12:30] BTC $47103.88
StonksBot#2363 [31-Mar-2022]	[12:45] BTC $47101.55
StonksBot#2363 [31-Mar-2022]	[13:00] BTC $47098.99
StonksBot#2363 [31-Mar-2022]	[13:15] BTC $47052.21
StonksBot#2363 [31-Mar-2022]	[13:30] BTC $47081.35
StonksBot#2363 [31-Mar-2022]	[13:45] BTC $47144.00
StonksBot#2363 [31-Mar-2022]	[14:00] BTC $47113.43
StonksBot#2363 [31-Mar-2022]	[14:15] BTC $47125.86
StonksBot#2363 [31-Mar-2022]	[14:30] BTC $47087.30
StonksBot#2363 [31-Mar-2022]	[14:45] BTC $47119.99
StonksBot#2363 [31-Mar-2022]	[15:00] BTC $47145.01
StonksBot#2363 [31-Mar-2022]	[15:15] BTC $47183.81
