DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [31-Mar-2022]	[9:00] ETH $3421.85
StonksBot#2363 [31-Mar-2022]	[9:15] ETH $3417.96
StonksBot#2363 [31-Mar-2022]	[9:30] ETH $3412.15
StonksBot#2363 [31-Mar-2022]	[9:45] ETH $3406.91
StonksBot#2363 [31-Mar-2022]	[10:00] ETH $3403.92
StonksBot#2363 [31-Mar-2022]	[10:15] ETH $3409.22
StonksBot#2363 [31-Mar-2022]	[10:30] ETH $3411.24
StonksBot#2363 [31-Mar-2022]	[10:45] ETH $3402.88
StonksBot#2363 [31-Mar-2022]	[11:00] ETH $3397.14
StonksBot#2363 [31-Mar-2022]	[11:15] ETH $3403.46
StonksBot#2363 [31-Mar-2022]	[11:30] ETH $3396.66
StonksBot#2363 [31-Mar-2022]	[11:45] ETH $3391.84
StonksBot#2363 [31-Mar-2022]	[12:00] ETH $3390.65
StonksBot#2363 [31-Mar-2022]	[12:15] ETH $3396.88
StonksBot#2363 [31-Mar-2022]	[12:30] ETH $3400.63
StonksBot#2363 [31-Mar-2022]	[12:45] ETH $3402.87
StonksBot#2363 [31-Mar-2022]	[13:00] ETH $3394.10
StonksBot#2363 [31-Mar-2022]	[13:15] ETH $3394.51
StonksBot#2363 [31-Mar-2022]	[13:30] ETH $3396.60
StonksBot#2363 [31-Mar-2022]	[13:45] ETH $3402.70
StonksBot#2363 [31-Mar-2022]	[14:00] ETH $3400.40
StonksBot#2363 [31-Mar-2022]	[14:15] ETH $3401.27
StonksBot#2363 [31-Mar-2022]	[14:30] ETH $3397.68
StonksBot#2363 [31-Mar-2022]	[14:45] ETH $3399.84
StonksBot#2363 [31-Mar-2022]	[15:00] ETH $3399.65
StonksBot#2363 [31-Mar-2022]	[15:15] ETH $3407.57
StonksBot#2363 [31-Mar-2022]	[15:30] ETH $3405.39
StonksBot#2363 [31-Mar-2022]	[15:45] ETH $3403.43
StonksBot#2363 [31-Mar-2022]	[16:00] ETH $3408.39
StonksBot#2363 [31-Mar-2022]	[16:15] ETH $3405.76
StonksBot#2363 [31-Mar-2022]	[16:30] ETH $3402.76
StonksBot#2363 [31-Mar-2022]	[16:45] ETH $3406.61
StonksBot#2363 [31-Mar-2022]	[17:00] ETH $3424.39
StonksBot#2363 [31-Mar-2022]	[17:15] ETH $3417.30
StonksBot#2363 [31-Mar-2022]	[17:30] ETH $3417.89
StonksBot#2363 [31-Mar-2022]	[17:45] ETH $3421.13
StonksBot#2363 [31-Mar-2022]	[18:00] ETH $3416.33
StonksBot#2363 [31-Mar-2022]	[18:15] ETH $3410.90
StonksBot#2363 [31-Mar-2022]	[18:30] ETH $3404.48
StonksBot#2363 [31-Mar-2022]	[18:45] ETH $3402.19
StonksBot#2363 [31-Mar-2022]	[19:00] ETH $3411.29
StonksBot#2363 [31-Mar-2022]	[19:15] ETH $3411.93
StonksBot#2363 [31-Mar-2022]	[19:30] ETH $3422.65
StonksBot#2363 [31-Mar-2022]	[19:45] ETH $3426.48
StonksBot#2363 [31-Mar-2022]	[20:00] ETH $3433.39
StonksBot#2363 [31-Mar-2022]	[20:15] ETH $3414.28
StonksBot#2363 [31-Mar-2022]	[20:30] ETH $3405.80
StonksBot#2363 [31-Mar-2022]	[20:45] ETH $3400.16
StonksBot#2363 [31-Mar-2022]	[21:00] ETH $3378.31
StonksBot#2363 [31-Mar-2022]	[21:15] ETH $3362.37
StonksBot#2363 [31-Mar-2022]	[21:30] ETH $3341.68
StonksBot#2363 [31-Mar-2022]	[21:45] ETH $3356.47
StonksBot#2363 [31-Mar-2022]	[22:00] ETH $3382.90
StonksBot#2363 [31-Mar-2022]	[22:15] ETH $3363.75
StonksBot#2363 [31-Mar-2022]	[22:30] ETH $3360.71
StonksBot#2363 [31-Mar-2022]	[22:45] ETH $3362.46
StonksBot#2363 [31-Mar-2022]	[23:00] ETH $3349.85
StonksBot#2363 [31-Mar-2022]	[23:15] ETH $3330.00
StonksBot#2363 [31-Mar-2022]	[23:30] ETH $3291.34
StonksBot#2363 [31-Mar-2022]	[23:45] ETH $3300.00
StonksBot#2363 [01-Apr-2022]	[0:00] ETH $3277.23
StonksBot#2363 [01-Apr-2022]	[0:15] ETH $3279.17
StonksBot#2363 [01-Apr-2022]	[0:30] ETH $3282.49
StonksBot#2363 [01-Apr-2022]	[0:45] ETH $3294.49
StonksBot#2363 [01-Apr-2022]	[1:00] ETH $3294.01
StonksBot#2363 [01-Apr-2022]	[1:15] ETH $3276.00
StonksBot#2363 [01-Apr-2022]	[1:30] ETH $3285.69
StonksBot#2363 [01-Apr-2022]	[1:45] ETH $3295.94
StonksBot#2363 [01-Apr-2022]	[2:00] ETH $3307.60
StonksBot#2363 [01-Apr-2022]	[2:15] ETH $3301.39
StonksBot#2363 [01-Apr-2022]	[2:30] ETH $3291.49
StonksBot#2363 [01-Apr-2022]	[2:45] ETH $3291.69
