DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [03-Apr-2022]	[0:00] SOL $139.0
StonksBot#2363 [03-Apr-2022]	[0:15] SOL $139.4
StonksBot#2363 [03-Apr-2022]	[0:30] SOL $138.8
StonksBot#2363 [03-Apr-2022]	[0:45] SOL $137.9
StonksBot#2363 [03-Apr-2022]	[1:00] SOL $137.8
StonksBot#2363 [03-Apr-2022]	[1:15] SOL $135.0
StonksBot#2363 [03-Apr-2022]	[1:30] SOL $136.1
StonksBot#2363 [03-Apr-2022]	[1:45] SOL $135.7
StonksBot#2363 [03-Apr-2022]	[2:00] SOL $134.8
StonksBot#2363 [03-Apr-2022]	[2:15] SOL $135.8
StonksBot#2363 [03-Apr-2022]	[2:30] SOL $136.5
StonksBot#2363 [03-Apr-2022]	[2:45] SOL $136.6
StonksBot#2363 [03-Apr-2022]	[3:00] SOL $135.7
StonksBot#2363 [03-Apr-2022]	[3:15] SOL $137.0
StonksBot#2363 [03-Apr-2022]	[3:30] SOL $137.0
StonksBot#2363 [03-Apr-2022]	[3:45] SOL $136.9
StonksBot#2363 [03-Apr-2022]	[4:00] SOL $136.9
StonksBot#2363 [03-Apr-2022]	[4:15] SOL $136.4
StonksBot#2363 [03-Apr-2022]	[4:30] SOL $135.7
StonksBot#2363 [03-Apr-2022]	[4:45] SOL $137.2
StonksBot#2363 [03-Apr-2022]	[5:00] SOL $136.6
StonksBot#2363 [03-Apr-2022]	[5:15] SOL $136.0
StonksBot#2363 [03-Apr-2022]	[5:30] SOL $134.8
StonksBot#2363 [03-Apr-2022]	[5:45] SOL $134.6
StonksBot#2363 [03-Apr-2022]	[6:00] SOL $134.2
StonksBot#2363 [03-Apr-2022]	[6:15] SOL $134.0
StonksBot#2363 [03-Apr-2022]	[6:30] SOL $134.0
StonksBot#2363 [03-Apr-2022]	[6:45] SOL $133.0
StonksBot#2363 [03-Apr-2022]	[7:00] SOL $132.5
StonksBot#2363 [03-Apr-2022]	[7:15] SOL $133.3
StonksBot#2363 [03-Apr-2022]	[7:30] SOL $133.0
StonksBot#2363 [03-Apr-2022]	[7:45] SOL $133.9
StonksBot#2363 [03-Apr-2022]	[8:00] SOL $133.8
StonksBot#2363 [03-Apr-2022]	[8:15] SOL $131.6
StonksBot#2363 [03-Apr-2022]	[8:30] SOL $131.6
