DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [31-Mar-2022]	[22:30] BNB $435.20
StonksBot#2363 [31-Mar-2022]	[22:45] BNB $435.30
StonksBot#2363 [31-Mar-2022]	[23:00] BNB $434.10
StonksBot#2363 [31-Mar-2022]	[23:15] BNB $429.90
StonksBot#2363 [31-Mar-2022]	[23:30] BNB $425.80
StonksBot#2363 [31-Mar-2022]	[23:45] BNB $427.40
StonksBot#2363 [01-Apr-2022]	[0:00] BNB $425.40
StonksBot#2363 [01-Apr-2022]	[0:15] BNB $427.00
StonksBot#2363 [01-Apr-2022]	[0:30] BNB $427.60
StonksBot#2363 [01-Apr-2022]	[0:45] BNB $429.50
StonksBot#2363 [01-Apr-2022]	[1:00] BNB $429.00
StonksBot#2363 [01-Apr-2022]	[1:15] BNB $427.10
StonksBot#2363 [01-Apr-2022]	[1:30] BNB $428.70
StonksBot#2363 [01-Apr-2022]	[1:45] BNB $430.40
StonksBot#2363 [01-Apr-2022]	[2:00] BNB $430.30
StonksBot#2363 [01-Apr-2022]	[2:15] BNB $429.80
StonksBot#2363 [01-Apr-2022]	[2:30] BNB $428.30
StonksBot#2363 [01-Apr-2022]	[2:45] BNB $427.80
StonksBot#2363 [01-Apr-2022]	[3:00] BNB $426.70
StonksBot#2363 [01-Apr-2022]	[3:15] BNB $428.40
StonksBot#2363 [01-Apr-2022]	[3:30] BNB $428.10
StonksBot#2363 [01-Apr-2022]	[3:45] BNB $428.90
StonksBot#2363 [01-Apr-2022]	[4:00] BNB $429.20
StonksBot#2363 [01-Apr-2022]	[4:15] BNB $429.20
StonksBot#2363 [01-Apr-2022]	[4:30] BNB $430.60
StonksBot#2363 [01-Apr-2022]	[4:45] BNB $429.80
StonksBot#2363 [01-Apr-2022]	[5:00] BNB $429.50
StonksBot#2363 [01-Apr-2022]	[5:15] BNB $430.10
StonksBot#2363 [01-Apr-2022]	[5:30] BNB $430.90
StonksBot#2363 [01-Apr-2022]	[5:45] BNB $429.60
StonksBot#2363 [01-Apr-2022]	[6:00] BNB $431.40
StonksBot#2363 [01-Apr-2022]	[6:15] BNB $430.50
StonksBot#2363 [01-Apr-2022]	[6:30] BNB $430.60
StonksBot#2363 [01-Apr-2022]	[6:45] BNB $427.60
StonksBot#2363 [01-Apr-2022]	[7:00] BNB $429.60
StonksBot#2363 [01-Apr-2022]	[7:15] BNB $429.30
StonksBot#2363 [01-Apr-2022]	[7:30] BNB $429.70
StonksBot#2363 [01-Apr-2022]	[7:45] BNB $429.50
StonksBot#2363 [01-Apr-2022]	[8:00] BNB $429.00
StonksBot#2363 [01-Apr-2022]	[8:15] BNB $427.80
StonksBot#2363 [01-Apr-2022]	[8:30] BNB $425.70
StonksBot#2363 [01-Apr-2022]	[8:45] BNB $426.40
StonksBot#2363 [01-Apr-2022]	[9:00] BNB $423.10
StonksBot#2363 [01-Apr-2022]	[9:15] BNB $423.90
StonksBot#2363 [01-Apr-2022]	[9:30] BNB $417.40
StonksBot#2363 [01-Apr-2022]	[9:45] BNB $418.80
StonksBot#2363 [01-Apr-2022]	[10:00] BNB $415.80
StonksBot#2363 [01-Apr-2022]	[10:15] BNB $416.10
StonksBot#2363 [01-Apr-2022]	[10:30] BNB $417.20
StonksBot#2363 [01-Apr-2022]	[10:45] BNB $418.20
StonksBot#2363 [01-Apr-2022]	[11:00] BNB $418.80
StonksBot#2363 [01-Apr-2022]	[11:15] BNB $419.80
StonksBot#2363 [01-Apr-2022]	[11:30] BNB $419.80
StonksBot#2363 [01-Apr-2022]	[11:45] BNB $420.50
StonksBot#2363 [01-Apr-2022]	[12:00] BNB $419.90
StonksBot#2363 [01-Apr-2022]	[12:15] BNB $421.70
StonksBot#2363 [01-Apr-2022]	[12:30] BNB $420.80
StonksBot#2363 [01-Apr-2022]	[12:45] BNB $421.20
StonksBot#2363 [01-Apr-2022]	[13:00] BNB $421.10
StonksBot#2363 [01-Apr-2022]	[13:15] BNB $419.70
StonksBot#2363 [01-Apr-2022]	[13:30] BNB $422.00
